Dialogue Name,Node Guid ID,Text Guid ID,English,Chinese,Spanish,French
Dialogue Container SO - Example01,09de0993-12b6-4852-9321-4da731ce7cc0,27cf1cbf-3cd0-4797-91f7-bc84ed10a3a3,"Good. Head to the west barricade. It’s crawling with undead, so be prepared. If we lose the generator, we lose everything","很好。前往西侧路障。那里到处都是亡灵，所以做好准备。如果我们失去护盾发生器，一切就完了。","Bien. Ve hacia la barricada oeste. Está plagado de no-muertos, así que prepárate. Si perdemos el generador, lo perdemos todo.","Bien. Allez à la barricade ouest. C'est infesté de morts-vivants, soyez prêt. Si nous perdons le générateur, nous perdons tout."
Dialogue Container SO - Example01,0d97e2a0-d28f-4b66-93f6-f5ebf29720ad,Choice Dont have Text ID,"What’s my mission, sir","长官，我的任务是什么？","¿Cuál es mi misión, señor?","Quelle est ma mission, monsieur ?"
Dialogue Container SO - Example01,985560e3-1e02-4acd-9740-c26a89534ac6,Choice Dont have Text ID,"What are our chances of survival, General","将军，我们的生存几率有多大？","¿Cuáles son nuestras posibilidades de supervivencia, General?","Général, quelles sont nos chances de survie ?"
Dialogue Container SO - Example01,9916fa84-30a7-4b60-9c52-6aa0264e336e,Choice Dont have Text ID,"How did this outbreak start","这次爆发是怎么开始的？","¿Cómo comenzó este brote?","Comment cette épidémie a-t-elle commencé ?"
Dialogue Container SO - Example01,7895f448-6f0b-4f9e-8889-05462c7c59ef,Choice Dont have Text ID,"Is there a cure","有治疗方法吗","¿Hay una cura?","Y a-t-il un remède ?"
Dialogue Container SO - Example01,e59f0b94-8d72-4f83-91ac-67021e9dbcc8,Choice Dont have Text ID,"I’ll take care of the shield generator","我来处理护盾发生器。","Me encargaré del generador de escudos.","Je m'occupe du générateur de bouclier."
Dialogue Container SO - Example01,08cc6202-96de-49e5-9d2f-283d4c682fce,Choice Dont have Text ID,"Where can I find the supply drops","我在哪里可以找到补给投放？","¿Dónde puedo encontrar los suministros?","Où puis-je trouver les largages de fournitures ?"
Dialogue Container SO - Example01,5b64f1ec-96ba-4767-a561-ba9163a75f96,Choice Dont have Text ID,"Why didn’t Command see this coming","指挥部为什么没预见到这件事？","¿Por qué el mando no vio esto venir?","Pourquoi le Commandement n'a-t-il pas vu cela venir ?"
Dialogue Container SO - Example01,89971536-796f-4ccd-8c93-f494eb120eaf,Choice Dont have Text ID,"I’ll help regroup the squads","我会帮助重新集结小队。","Ayudaré a reagrupar a los escuadrones.","Je vais aider à regrouper les équipes."
Dialogue Container SO - Example01,a5f97d90-6d1c-4846-9b67-a6f765d3f47f,Choice Dont have Text ID,"I’ll rescue the survivor","我去救幸存者。","Voy a rescatar a los sobrevivientes.","Je vais sauver les survivants."
